FRUITY	CITRUS	BLOOD ORANGE	BLOOD ORANGE
OVERALL	FINISH	SUPERLONG FINISH	LONG FINISH	
OVERALL	FINISH	SUPERVELVETY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SUPPLE AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	SUPPLE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SUPPLE TEXTURE FINISHING	EXCELLENT FINISH	
OVERALL	FINISH	SWEET FINISH	EXCELLENT FINISH	
OVERALL	FINISH	TANGY AFTERTASTE	STRONG FINISH	
OVERALL	FINISH	TAPERED FINISH	WEAK FINISH	
OVERALL	FINISH	TAPERED ON THE FINISH	WEAK FINISH	
OVERALL	FINISH	TAUT FINISH	STRONG FINISH	
OVERALL	FINISH	TIGHT FINISH	EXCELLENT FINISH	
OVERALL	FINISH	TIGHTENING ON FINISH	EXCELLENT FINISH	
OVERALL	FINISH	TREMENDOUS AFTERTASTE	STRONG FINISH	
OVERALL	FINISH	TREMENDOUS FINISH	STRONG FINISH	
OVERALL	FINISH	ULTRARICH FINISH	EXCELLENT FINISH	
OVERALL	FINISH	UNCTUOUS AFTERTASTE	STRONG FINISH	
OVERALL	FINISH	UNCTUOUS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	VELVETY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	VIBRANT FINISH	EXCELLENT FINISH	
OVERALL	FINISH	VIVID FINISH	EXCELLENT FINISH	
OVERALL	FINISH	WELL-BUFFED FINISH	STRONG FINISH	
OVERALL	FINISH	WELL-INTEGRATED FINISH	STRONG FINISH	
OVERALL	FINISH	WELL-ROUNDED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	WONDERFUL AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	WONDERFUL FINISH	EXCELLENT FINISH	
OVERALL	FINISH	ZESTY AFTERTASTE	STRONG FINISH	
OVERALL	FLAVOR/DESCRIPTORS	ACCENTS	ACCENTS	
OVERALL	FLAVOR/DESCRIPTORS	AGE BEAUTIFULLY	BEAUTY	
OVERALL	FLAVOR/DESCRIPTORS	AGE WELL	AGE WELL	
OVERALL	FLAVOR/DESCRIPTORS	AIR	AIRY	
OVERALL	FLAVOR/DESCRIPTORS	AIRY	AIRY	
OVERALL	FLAVOR/DESCRIPTORS	ALLURING	ALLURING	
OVERALL	FLAVOR/DESCRIPTORS	AMAZING	AMAZING	
OVERALL	FLAVOR/DESCRIPTORS	AMAZINGLY	AMAZING	
OVERALL	FLAVOR/DESCRIPTORS	AMBITIOUS	AMBITIOUS	
OVERALL	FLAVOR/DESCRIPTORS	AMPLE	AMPLE	
OVERALL	FLAVOR/DESCRIPTORS	AMPLE RESERVES	AMPLE	
OVERALL	FLAVOR/DESCRIPTORS	AMPLE SUPPORT	AMPLE	
OVERALL	FLAVOR/DESCRIPTORS	AN INTENSE	INTENSE	
OVERALL	FLAVOR/DESCRIPTORS	ANGLES	ANGLES	
OVERALL	FLAVOR/DESCRIPTORS	APPEALING	APPEALING	
OVERALL	FLAVOR/DESCRIPTORS	APPEALINGLY	APPEALINGLY	
OVERALL	FLAVOR/DESCRIPTORS	APPROACHABLE	APPROACHABLE	
OVERALL	FLAVOR/DESCRIPTORS	ARISTOCRATICALLY	ARISTOCRATIC	
OVERALL	FLAVOR/DESCRIPTORS	AROMA	AROMA	
OVERALL	FLAVOR/DESCRIPTORS	AROMATIC	AROMATIC	
OVERALL	FLAVOR/DESCRIPTORS	ARRAY OF FLAVORS	ARRAY OF FLAVORS	
OVERALL	FLAVOR/DESCRIPTORS	ASTRINGENCY	ASTRINGENCY	
OVERALL	FLAVOR/DESCRIPTORS	ATTRACTIVE	ATTRACTIVE	
OVERALL	FLAVOR/DESCRIPTORS	AUSTERE	AUSTERE	
OVERALL	FLAVOR/DESCRIPTORS	AUTHENTICITY	AUTHENTICITY	
OVERALL	FLAVOR/DESCRIPTORS	AWESOME	AWESOME	
OVERALL	FLAVOR/DESCRIPTORS	BACKWARD	BACKWARD	
OVERALL	FLAVOR/DESCRIPTORS	BALANCE	BALANCE	
OVERALL	FLAVOR/DESCRIPTORS	BALANCED	BALANCE	
OVERALL	FLAVOR/DESCRIPTORS	BALANCING	BALANCE	
OVERALL	FLAVOR/DESCRIPTORS	BEAM	BEAM	
OVERALL	FLAVOR/DESCRIPTORS	BEAUTIFUL	BEAUTY	
OVERALL	FLAVOR/DESCRIPTORS	BEAUTIFULLY	BEAUTY	
OVERALL	FLAVOR/DESCRIPTORS	BEAUTY	BEAUTY	
OVERALL	FLAVOR/DESCRIPTORS	BEGUILING	BEGUILING	
OVERALL	FLAVOR/DESCRIPTORS	BEST	GREAT	
OVERALL	FLAVOR/DESCRIPTORS	BETTER	GREAT	
OVERALL	FLAVOR/DESCRIPTORS	BIG	BIG	
OVERALL	FLAVOR/DESCRIPTORS	BIG STYLE	BIG	
OVERALL	FLAVOR/DESCRIPTORS	BITTER	BITTER	
OVERALL	FLAVOR/DESCRIPTORS	BITTERNESS	BITTERNESS	
OVERALL	FLAVOR/DESCRIPTORS	BITTERSWEET	BITTERSWEET	
OVERALL	FLAVOR/DESCRIPTORS	BLOCKBUSTER	BLOCKBUSTER	
OVERALL	FLAVOR/DESCRIPTORS	BOLD	BOLD	
OVERALL	FLAVOR/DESCRIPTORS	BOUNCY	BOUNCY	
OVERALL	FLAVOR/DESCRIPTORS	BRACING	BRACING	
OVERALL	FLAVOR/DESCRIPTORS	BRANDIED	BRANDIED	
OVERALL	FLAVOR/DESCRIPTORS	BRAWNY	BRAWNY	
OVERALL	FLAVOR/DESCRIPTORS	BRAWNY STYLE	BRAWNY	
OVERALL	FLAVOR/DESCRIPTORS	BREATHTAKING	BREATHTAKING	
OVERALL	FLAVOR/DESCRIPTORS	BRICK HOUSE	BRICK HOUSE	
OVERALL	FLAVOR/DESCRIPTORS	BRICK-HOUSE	BRICK HOUSE	
OVERALL	FLAVOR/DESCRIPTORS	BRIGHT	BRIGHT	
OVERALL	FLAVOR/DESCRIPTORS	BRIGHTER	BRIGHT	
OVERALL	FLAVOR/DESCRIPTORS	BRILLIANCE	BRILLIANCE	
OVERALL	FLAVOR/DESCRIPTORS	BRILLIANT	BRILLIANCE	
OVERALL	FLAVOR/DESCRIPTORS	BRIMMING	BRIMMING	
OVERALL	FLAVOR/DESCRIPTORS	BRINY	BRINY	
OVERALL	FLAVOR/DESCRIPTORS	BRISK	BRISK	
OVERALL	FLAVOR/DESCRIPTORS	BROAD	BROAD	
OVERALL	FLAVOR/DESCRIPTORS	BROAD-TASTING	BROAD	
OVERALL	FLAVOR/DESCRIPTORS	BROODING	BROODING	
OVERALL	FLAVOR/DESCRIPTORS	BROODING GIANT	BROODING GIANT	
OVERALL	FLAVOR/DESCRIPTORS	BROUGHT INTO FOCUS	BROUGHT INTO FOCUS	
OVERALL	FLAVOR/DESCRIPTORS	BUBBLY	BUBBLY	
OVERALL	FLAVOR/DESCRIPTORS	BUILDS NICELY	BUILDS NICELY	
OVERALL	FLAVOR/DESCRIPTORS	BUILT TO LAST	BUILT TO LAST	
OVERALL	FLAVOR/DESCRIPTORS	CARESS	CARESS	
OVERALL	FLAVOR/DESCRIPTORS	CARESSING	CARESS	
OVERALL	FLAVOR/DESCRIPTORS	CARESSING FEEL	CARESS	
OVERALL	FLAVOR/DESCRIPTORS	CASHMERE	CASHMERE	
OVERALL	FLAVOR/DESCRIPTORS	CASHMERE TEXTURE	CASHMERE	
OVERALL	FLAVOR/DESCRIPTORS	CHARACTER	CHARACTER	
OVERALL	FLAVOR/DESCRIPTORS	CHARMING	CHARMING	
OVERALL	FLAVOR/DESCRIPTORS	CHISELED	CHISELED	
OVERALL	FLAVOR/DESCRIPTORS	CHISELED FEEL	CHISELED	
OVERALL	FLAVOR/DESCRIPTORS	CLARITY	CLARITY	
OVERALL	FLAVOR/DESCRIPTORS	CLASS	CLASS	
OVERALL	FLAVOR/DESCRIPTORS	CLASSIC	CLASSIC	
OVERALL	FLAVOR/DESCRIPTORS	CLASSY	CLASS	
OVERALL	FLAVOR/DESCRIPTORS	CLEAN	CLEAN	
OVERALL	FLAVOR/DESCRIPTORS	CLEANLY	CLEAN	
OVERALL	FLAVOR/DESCRIPTORS	CLEAR	CLEAR	
OVERALL	FLAVOR/DESCRIPTORS	CLOSED	CLOSED	
OVERALL	FLAVOR/DESCRIPTORS	CLOSELY KNIT FLAVORS	CLOSELY KNIT	
OVERALL	FLAVOR/DESCRIPTORS	CLOSURES	CLOSURES	
OVERALL	FLAVOR/DESCRIPTORS	COHESIVE	COHESIVE	
OVERALL	FLAVOR/DESCRIPTORS	COMPACT	COMPACT	
OVERALL	FLAVOR/DESCRIPTORS	COMPACTED	COMPACT	
OVERALL	FLAVOR/DESCRIPTORS	COMPELLING	COMPELLING	
OVERALL	FLAVOR/DESCRIPTORS	COMPLEMENT	COMPLEMENT	
OVERALL	FLAVOR/DESCRIPTORS	COMPLEMENT NICELY	COMPLEMENT	
OVERALL	FLAVOR/DESCRIPTORS	COMPLEX	COMPLEX	
OVERALL	FLAVOR/DESCRIPTORS	COMPLEX FEATURING	COMPLEX	
OVERALL	FLAVOR/DESCRIPTORS	COMPLEX FLAVOR	COMPLEX	
OVERALL	FLAVOR/DESCRIPTORS	COMPLEXITY	COMPLEX	
OVERALL	FLAVOR/DESCRIPTORS	CONSISTENT	CONSISTENT	
OVERALL	FLAVOR/DESCRIPTORS	CONTROL	CONTROL	
OVERALL	FLAVOR/DESCRIPTORS	CRACKLING	CRACKLING	
OVERALL	FLAVOR/DESCRIPTORS	CRISP	CRISP	
OVERALL	FLAVOR/DESCRIPTORS	CRISPNESS	CRISP	
OVERALL	FLAVOR/DESCRIPTORS	CRUNCH	CRUNCH	
OVERALL	FLAVOR/DESCRIPTORS	CRUNCHY	CRUNCH	
OVERALL	FLAVOR/DESCRIPTORS	CUT	CUT	
OVERALL	FLAVOR/DESCRIPTORS	DANCE	DANCE	
OVERALL	FLAVOR/DESCRIPTORS	DARK	DARK	
OVERALL	FLAVOR/DESCRIPTORS	DASH	DASH	
OVERALL	FLAVOR/DESCRIPTORS	DAZZLING	DAZZLING	
OVERALL	FLAVOR/DESCRIPTORS	DECADENT	DECADENT	
OVERALL	FLAVOR/DESCRIPTORS	DECEPTIVELY	DECEPTIVELY	
OVERALL	FLAVOR/DESCRIPTORS	DEEP	DEEP	
OVERALL	FLAVOR/DESCRIPTORS	DEEP WELL	DEEP	
OVERALL	FLAVOR/DESCRIPTORS	DEEPER	DEEP	
OVERALL	FLAVOR/DESCRIPTORS	DEEPLY FLAVORED	DEEP	
OVERALL	FLAVOR/DESCRIPTORS	DEFINED	DEFINED	
OVERALL	FLAVOR/DESCRIPTORS	DEFINITION	DEFINED	
OVERALL	FLAVOR/DESCRIPTORS	DEFT	DEFT	
OVERALL	FLAVOR/DESCRIPTORS	DEFTNESS	DEFTNESS	
OVERALL	FLAVOR/DESCRIPTORS	DELICACY	DELICACY	
OVERALL	FLAVOR/DESCRIPTORS	DELICATE	DELICATE	
OVERALL	FLAVOR/DESCRIPTORS	DELICATELY	DELICATE	
OVERALL	FLAVOR/DESCRIPTORS	DELICIOUS	DELICIOUS	
OVERALL	FLAVOR/DESCRIPTORS	DELICIOUSLY	DELICIOUS	
OVERALL	FLAVOR/DESCRIPTORS	DELICIOUSNESS	DELICIOUS	
OVERALL	FLAVOR/DESCRIPTORS	DELIVERS	DELIVERS	
OVERALL	FLAVOR/DESCRIPTORS	DEPENDABILITY	DEPENDABILITY	
OVERALL	FLAVOR/DESCRIPTORS	DEPTH	DEPTH	
OVERALL	FLAVOR/DESCRIPTORS	DETAILED	DETAILED	
OVERALL	FLAVOR/DESCRIPTORS	DETAILED TEXTURE	DETAILED	
OVERALL	FLAVOR/DESCRIPTORS	DEVELOP	DEVELOP	
OVERALL	FLAVOR/DESCRIPTORS	DEVELOP NICELY	DEVELOP	
OVERALL	FLAVOR/DESCRIPTORS	DEVELOPED	DEVELOP	
OVERALL	FLAVOR/DESCRIPTORS	DIMENSION	DIMENSION	
OVERALL	FLAVOR/DESCRIPTORS	DISGUISING	DISGUISING	
OVERALL	FLAVOR/DESCRIPTORS	DISPLAYED	DISPLAYED	
OVERALL	FLAVOR/DESCRIPTORS	DISTINCT	DISTINCT	
OVERALL	FLAVOR/DESCRIPTORS	DISTINCTION	DISTINCT	
OVERALL	FLAVOR/DESCRIPTORS	DISTINCTIVE	DISTINCT	
OVERALL	FLAVOR/DESCRIPTORS	DISTRIBUTED	DISTRIBUTED	
OVERALL	FLAVOR/DESCRIPTORS	DOCILE	DOCILE	
OVERALL	FLAVOR/DESCRIPTORS	DOMINATE	DOMINATE	
OVERALL	FLAVOR/DESCRIPTORS	DRAMATIC	DRAMATIC	
OVERALL	FLAVOR/DESCRIPTORS	DRAMATICALLY	DRAMATIC	
OVERALL	FLAVOR/DESCRIPTORS	DRIPPING	DRIPPING	
OVERALL	FLAVOR/DESCRIPTORS	DRIVE	DRIVE	
OVERALL	FLAVOR/DESCRIPTORS	DRIVEN	DRIVE	
OVERALL	FLAVOR/DESCRIPTORS	DRY	DRY	
OVERALL	FLAVOR/DESCRIPTORS	DUSKY	DUSKY	
OVERALL	FLAVOR/DESCRIPTORS	DYNAMIC	DYNAMIC	
OVERALL	FLAVOR/DESCRIPTORS	ECHOES	ECHO	
OVERALL	FLAVOR/DESCRIPTORS	ECHOING	ECHO	
OVERALL	FLAVOR/DESCRIPTORS	EFFORTLESS	EFFORTLESS	
OVERALL	FLAVOR/DESCRIPTORS	EFFUSIVE	EFFUSIVE	
OVERALL	FLAVOR/DESCRIPTORS	ELECTRIC	ELECTRIC	
OVERALL	FLAVOR/DESCRIPTORS	ELEGANCE	ELEGANT	
OVERALL	FLAVOR/DESCRIPTORS	ELEGANT	ELEGANT	
OVERALL	FLAVOR/DESCRIPTORS	ELEGANTLY	ELEGANT	
OVERALL	FLAVOR/DESCRIPTORS	EMERGE FULLY	EMERGE FULLY	
OVERALL	FLAVOR/DESCRIPTORS	ENCORE	ENCORE	
OVERALL	FLAVOR/DESCRIPTORS	ENGAGING	ENGAGING	
OVERALL	FLAVOR/DESCRIPTORS	ENLIVENED	ENLIVENED	
OVERALL	FLAVOR/DESCRIPTORS	ENORMOUS	ENORMOUS	
OVERALL	FLAVOR/DESCRIPTORS	ENORMOUS RANGE	ENORMOUS	
OVERALL	FLAVOR/DESCRIPTORS	ENTICING	ENTICING	
OVERALL	FLAVOR/DESCRIPTORS	ENTICINGLY	ENTICING	
OVERALL	FLAVOR/DESCRIPTORS	ESSENCE OF CLASS	CLASS	
OVERALL	FLAVOR/DESCRIPTORS	ETHEREAL	ETHEREAL	
OVERALL	FLAVOR/DESCRIPTORS	EXCELLENT	EXCELLENT	
OVERALL	FLAVOR/DESCRIPTORS	EXCEPTIONAL	EXCEPTIONAL	
OVERALL	FLAVOR/DESCRIPTORS	EXCITING	EXCITING	
OVERALL	FLAVOR/DESCRIPTORS	EXOTIC	EXOTIC	
OVERALL	FLAVOR/DESCRIPTORS	EXOTIC AROMAS	EXOTIC	
OVERALL	FLAVOR/DESCRIPTORS	EXPAND	EXPAND	
OVERALL	FLAVOR/DESCRIPTORS	EXPANSIVE	EXPAND	
OVERALL	FLAVOR/DESCRIPTORS	EXPLODES	EXPLODE	
OVERALL	FLAVOR/DESCRIPTORS	EXPLOSIVE	EXPLODE	
OVERALL	FLAVOR/DESCRIPTORS	EXPLOSIVELY	EXPLODE	
OVERALL	FLAVOR/DESCRIPTORS	EXPLOSIVENESS	EXPLODE	
OVERALL	FLAVOR/DESCRIPTORS	EXPRESSIVE	EXPRESSIVE	
OVERALL	FLAVOR/DESCRIPTORS	EXPRESSIVE FLAVORS	EXPRESSIVE	
OVERALL	FLAVOR/DESCRIPTORS	EXQUISITE	EXQUISITE	
OVERALL	FLAVOR/DESCRIPTORS	EXQUISITELY	EXQUISITE	
OVERALL	FLAVOR/DESCRIPTORS	EXTEND	EXTEND	
OVERALL	FLAVOR/DESCRIPTORS	EXTRAORDINARY	EXTRAORDINARY	
OVERALL	FLAVOR/DESCRIPTORS	EXTROVERTED	EXTROVERTED	
OVERALL	FLAVOR/DESCRIPTORS	EXUBERANT	EXUBERANT	
OVERALL	FLAVOR/DESCRIPTORS	EXUBERANTLY FRAGRANT	EXUBERANT	
OVERALL	FLAVOR/DESCRIPTORS	FABULOUS	FABULOUS	
OVERALL	FLAVOR/DESCRIPTORS	FANTASTIC	FANTASTIC	
OVERALL	FLAVOR/DESCRIPTORS	FANTASTIC AROMAS	FANTASTIC	
OVERALL	FLAVOR/DESCRIPTORS	FASCINATING	FASCINATING	
OVERALL	FLAVOR/DESCRIPTORS	FAT	FAT	
OVERALL	FLAVOR/DESCRIPTORS	FINE	FINE	
OVERALL	FLAVOR/DESCRIPTORS	FINE BEAD	FINE	
OVERALL	FLAVOR/DESCRIPTORS	FINE TEXTURE	FINE	
OVERALL	FLAVOR/DESCRIPTORS	FINELY	FINE	
OVERALL	FLAVOR/DESCRIPTORS	FINELY CUT	FINE	
OVERALL	FLAVOR/DESCRIPTORS	FINELY MESHED	FINE	
OVERALL	FLAVOR/DESCRIPTORS	FINELY PROPORTIONED	FINELY PROPORTIONED	
OVERALL	FLAVOR/DESCRIPTORS	FINELY SCULPTED	FINELY SCULPTED	
OVERALL	FLAVOR/DESCRIPTORS	FINELY WOVEN	FINE	
OVERALL	FLAVOR/DESCRIPTORS	FINESSE	FINESSE	
OVERALL	FLAVOR/DESCRIPTORS	FINESSE OVERALL	FINESSE	
OVERALL	FLAVOR/DESCRIPTORS	FIRM	FIRM	
OVERALL	FLAVOR/DESCRIPTORS	FIRMING	FIRM	
OVERALL	FLAVOR/DESCRIPTORS	FLAMBOYANT	FLAMBOYANT	
OVERALL	FLAVOR/DESCRIPTORS	FLAMBOYANTLY	FLAMBOYANT	
OVERALL	FLAVOR/DESCRIPTORS	FLASHY	FLASHY	
OVERALL	FLAVOR/DESCRIPTORS	FLATTERING	FLATTERING	
OVERALL	FLAVOR/DESCRIPTORS	FLAVORFUL	FLAVORFUL	
OVERALL	FLAVOR/DESCRIPTORS	FLAVORS	FLAVORS	
OVERALL	FLAVOR/DESCRIPTORS	FLAVORS ENMESHED	FLAVORS	
OVERALL	FLAVOR/DESCRIPTORS	FLAVORS PERSIST	PERSIST	
OVERALL	FLAVOR/DESCRIPTORS	FLAVORS THAT PERSIST	PERSIST	
OVERALL	FLAVOR/DESCRIPTORS	FLESH	FLESH	
OVERALL	FLAVOR/DESCRIPTORS	FLESHY	FLESH	
OVERALL	FLAVOR/DESCRIPTORS	FLOWING	FLOWING	
OVERALL	FLAVOR/DESCRIPTORS	FOCUS	FOCUS	
OVERALL	FLAVOR/DESCRIPTORS	FOCUSED	FOCUSED	
OVERALL	FLAVOR/DESCRIPTORS	FRAGRANT	FRAGRANT	
OVERALL	FLAVOR/DESCRIPTORS	FRESH	FRESH	
OVERALL	FLAVOR/DESCRIPTORS	FRESH-CUT	FRESH	
OVERALL	FLAVOR/DESCRIPTORS	FRESHNESS	FRESH	
OVERALL	FLAVOR/DESCRIPTORS	FULL	FULL	
OVERALL	FLAVOR/DESCRIPTORS	FULL-BLOWN	FULL	
OVERALL	FLAVOR/DESCRIPTORS	FULL-BORE	FULL	
OVERALL	FLAVOR/DESCRIPTORS	FUN	FUN	
OVERALL	FLAVOR/DESCRIPTORS	GAINING	GAINING	
OVERALL	FLAVOR/DESCRIPTORS	GENEROSITY	GENEROSITY	
OVERALL	FLAVOR/DESCRIPTORS	GENEROUS	GENEROUS	
OVERALL	FLAVOR/DESCRIPTORS	GENEROUSLY	GENEROUS	
OVERALL	FLAVOR/DESCRIPTORS	GENTLE	GENTLE	
OVERALL	FLAVOR/DESCRIPTORS	GENTLENESS	GENTLE	
OVERALL	FLAVOR/DESCRIPTORS	GET BETTER	GREAT	
OVERALL	FLAVOR/DESCRIPTORS	GLIDES	GLIDE	
OVERALL	FLAVOR/DESCRIPTORS	GLIDES EFFORTLESSLY	GLIDE	
OVERALL	FLAVOR/DESCRIPTORS	GLIDING	GLIDE	
OVERALL	FLAVOR/DESCRIPTORS	GOES DOWN EASY	GOES DOWN EASY	
OVERALL	FLAVOR/DESCRIPTORS	GOOD	GOOD	
OVERALL	FLAVOR/DESCRIPTORS	GOOD BALANCE	GOOD	
OVERALL	FLAVOR/DESCRIPTORS	GOOEY	GOOEY	
OVERALL	FLAVOR/DESCRIPTORS	GORGEOUS	GORGEOUS	
OVERALL	FLAVOR/DESCRIPTORS	GORGEOUS AROMAS	GORGEOUS	
OVERALL	FLAVOR/DESCRIPTORS	GRACE	GRACE	
OVERALL	FLAVOR/DESCRIPTORS	GRACEFUL	GRACE	
OVERALL	FLAVOR/DESCRIPTORS	GRACEFUL STYLE	GRACE	
OVERALL	FLAVOR/DESCRIPTORS	GRACEFULLY	GRACE	
OVERALL	FLAVOR/DESCRIPTORS	GREAT	GREAT	
OVERALL	FLAVOR/DESCRIPTORS	GREATER	GREAT	
OVERALL	FLAVOR/DESCRIPTORS	GREATEST	GREAT	
OVERALL	FLAVOR/DESCRIPTORS	GRIP	GRIP	
OVERALL	FLAVOR/DESCRIPTORS	GRIP-FILLED	GRIP	
OVERALL	FLAVOR/DESCRIPTORS	GRIPPY	GRIP	
OVERALL	FLAVOR/DESCRIPTORS	GUSH	GUSH	
OVERALL	FLAVOR/DESCRIPTORS	GUSHING	GUSH	
OVERALL	FLAVOR/DESCRIPTORS	GUTSY RICHNESS	GUTSY RICHNESS	
OVERALL	FLAVOR/DESCRIPTORS	HALOED	HALOED	
OVERALL	FLAVOR/DESCRIPTORS	HANG	HANG	
OVERALL	FLAVOR/DESCRIPTORS	HARMONIOUS	HARMONY	
OVERALL	FLAVOR/DESCRIPTORS	HARMONIOUSLY	HARMONY	
OVERALL	FLAVOR/DESCRIPTORS	HARMONY	HARMONY	
OVERALL	FLAVOR/DESCRIPTORS	HEADY	HEADY	
OVERALL	FLAVOR/DESCRIPTORS	HEAT	HEAT	
OVERALL	FLAVOR/DESCRIPTORS	HIGH-TONED	HIGH-TONED	
OVERALL	FLAVOR/DESCRIPTORS	HINTS OF BRINE	BRINY	
OVERALL	FLAVOR/DESCRIPTORS	HONEST	HONEST	
OVERALL	FLAVOR/DESCRIPTORS	HOT	HEAT	
OVERALL	FLAVOR/DESCRIPTORS	HOVER	HOVER	
OVERALL	FLAVOR/DESCRIPTORS	HUGE	BIG	
OVERALL	FLAVOR/DESCRIPTORS	IMMENSE	IMMENSE	
OVERALL	FLAVOR/DESCRIPTORS	IMPECCIBLE	IMPECCIBLE	
OVERALL	FLAVOR/DESCRIPTORS	IMPRESSES	IMPRESSES	
OVERALL	FLAVOR/DESCRIPTORS	IMPRESSIVE	IMPRESSES	
OVERALL	FLAVOR/DESCRIPTORS	IMPRESSIVELY	IMPRESSES	
OVERALL	FLAVOR/DESCRIPTORS	INCENSE	INCENSE	
OVERALL	FLAVOR/DESCRIPTORS	INCREDIBLE	INCREDIBLE	
OVERALL	FLAVOR/DESCRIPTORS	INCREDIBLY	INCREDIBLY	
OVERALL	FLAVOR/DESCRIPTORS	INTEGRATE	INTEGRATE	
OVERALL	FLAVOR/DESCRIPTORS	INTEGRATED	INTEGRATE	
OVERALL	FLAVOR/DESCRIPTORS	INTEGRATION	INTEGRATION	
OVERALL	FLAVOR/DESCRIPTORS	INTEGRITY	INTEGRITY	
OVERALL	FLAVOR/DESCRIPTORS	INTENSE	INTENSE	
OVERALL	FLAVOR/DESCRIPTORS	INTENSE AROMAS	INTENSE	
OVERALL	FLAVOR/DESCRIPTORS	INTENSITY	INTENSITY	
OVERALL	FLAVOR/DESCRIPTORS	INTERNATIONAL	INTERNATIONAL-STYLE	
OVERALL	FLAVOR/DESCRIPTORS	INTERNATIONAL STYLE	INTERNATIONAL-STYLE	
OVERALL	FLAVOR/DESCRIPTORS	INTERNATIONAL-STYLE	INTERNATIONAL-STYLE	
OVERALL	FLAVOR/DESCRIPTORS	INTRIGUING	INTRIGUING	
OVERALL	FLAVOR/DESCRIPTORS	INVITING	INVITING	
OVERALL	FLAVOR/DESCRIPTORS	JAW-DROPPING	JAW-DROPPING	
OVERALL	FLAVOR/DESCRIPTORS	JAZZY	JAZZY	
OVERALL	FLAVOR/DESCRIPTORS	JOY	JOY	
OVERALL	FLAVOR/DESCRIPTORS	JUDICIOUS	JUDICIOUS	
OVERALL	FLAVOR/DESCRIPTORS	JUICE	JUICINESS	
OVERALL	FLAVOR/DESCRIPTORS	JUICIER	JUICINESS	
OVERALL	FLAVOR/DESCRIPTORS	JUICINESS	JUICINESS	
OVERALL	FLAVOR/DESCRIPTORS	JUICY	JUICINESS	
OVERALL	FLAVOR/DESCRIPTORS	KNOCKOUT	KNOCKOUT	
OVERALL	FLAVOR/DESCRIPTORS	LACED	LACED	
OVERALL	FLAVOR/DESCRIPTORS	LADEN	LADEN	
OVERALL	FLAVOR/DESCRIPTORS	LARGE-SCALE	LARGE-SCALE	
OVERALL	FLAVOR/DESCRIPTORS	LASTING FLAVOR	LASTS	
OVERALL	FLAVOR/DESCRIPTORS	LATENT	LATENT	
OVERALL	FLAVOR/DESCRIPTORS	LATENT DEPTH	LATENT DEPTH	
OVERALL	FLAVOR/DESCRIPTORS	LAVISH	LAVISH	
OVERALL	FLAVOR/DESCRIPTORS	LAYER	LAYER	
OVERALL	FLAVOR/DESCRIPTORS	LAYERED	LAYER	
OVERALL	FLAVOR/DESCRIPTORS	LAYERING	LAYER	
OVERALL	FLAVOR/DESCRIPTORS	LENGTH	LENGTH	
OVERALL	FLAVOR/DESCRIPTORS	LESS BROAD	LESS BROAD	
OVERALL	FLAVOR/DESCRIPTORS	LIFT	LIFT	
OVERALL	FLAVOR/DESCRIPTORS	LIGHT TEXTURE	LIGHT TEXTURE	
OVERALL	FLAVOR/DESCRIPTORS	LIGHTWEIGHT	LIGHTWEIGHT	
OVERALL	FLAVOR/DESCRIPTORS	LILTING	LILTING	
OVERALL	FLAVOR/DESCRIPTORS	LIMESTONE CLIFF	LIMESTONE CLIFF	
OVERALL	FLAVOR/DESCRIPTORS	LINEAR	LINEAR	
OVERALL	FLAVOR/DESCRIPTORS	LINGER	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGER BEAUTIFULLY	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGER EFFECTIVELY	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGER EFFORTLESSLY	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGER ON	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGERING	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGERING EFFORTLESSLY	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGERING ENTICINGLY	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGERING WELL	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LINGERS IMPRESSIVELY	LINGER	
OVERALL	FLAVOR/DESCRIPTORS	LITHE	LITHE	
OVERALL	FLAVOR/DESCRIPTORS	LIVE-WIRE	LIVE-WIRE	
OVERALL	FLAVOR/DESCRIPTORS	LIVELIER	LIVELIER	
OVERALL	FLAVOR/DESCRIPTORS	LIVELY	LIVELY	
OVERALL	FLAVOR/DESCRIPTORS	LOADS OF POWER	POWER	
OVERALL	FLAVOR/DESCRIPTORS	LONG	LONG	
OVERALL	FLAVOR/DESCRIPTORS	LONGEVITY	LONG	
OVERALL	FLAVOR/DESCRIPTORS	LOVELY	LOVELY	
OVERALL	FLAVOR/DESCRIPTORS	LOVELY AROMAS	LOVELY	
OVERALL	FLAVOR/DESCRIPTORS	LURK	LURK	
